param value,Overall accuracy,Unknown classes overall_acc,Per class accuracy
0.1,0.022000000000000002,0.016,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]"
0.2,0.0155,0.006,"[0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.05, 0.1, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05, 0.0]"
0.30000000000000004,0.01,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.4,0.04025,0.0435,"[0.025, 0.025, 0.075, 0.05, 0.1, 0.025, 0.025, 0.05, 0.025, 0.075, 0.05, 0.025, 0.025, 0.025, 0.025, 0.05, 0.025, 0.025, 0.025, 0.025, 0.075, 0.025, 0.025, 0.025, 0.05, 0.05, 0.025, 0.05, 0.025, 0.025, 0.025, 0.025, 0.0, 0.05, 0.025, 0.05, 0.025, 0.05, 0.05, 0.025, 0.05, 0.05, 0.075, 0.025, 0.025, 0.025, 0.025, 0.075, 0.025, 0.0, 0.025, 0.025, 0.275, 0.075, 0.05, 0.05, 0.025, 0.025, 0.025, 0.05, 0.05, 0.025, 0.1, 0.05, 0.05, 0.05, 0.025, 0.05, 0.025, 0.025, 0.075, 0.025, 0.025, 0.0, 0.025, 0.025, 0.05, 0.025, 0.025, 0.075, 0.05, 0.05, 0.025, 0.1, 0.025, 0.025, 0.025, 0.025, 0.025, 0.05, 0.075, 0.025, 0.075, 0.025, 0.025, 0.0, 0.05, 0.025, 0.025, 0.025]"
0.5,0.0128,0.0052,"[0.94, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.6,0.010166666666666666,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.7000000000000001,0.03942857142857143,0.04428571428571429,"[0.1, 0.014285714285714285, 0.02857142857142857, 0.12857142857142856, 0.02857142857142857, 0.014285714285714285, 0.014285714285714285, 0.04285714285714286, 0.05714285714285714, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.04285714285714286, 0.014285714285714285, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.07142857142857142, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.05714285714285714, 0.02857142857142857, 0.014285714285714285, 0.05714285714285714, 0.014285714285714285, 0.014285714285714285, 0.014285714285714285, 0.02857142857142857, 0.04285714285714286, 0.014285714285714285, 0.04285714285714286, 0.05714285714285714, 0.014285714285714285, 0.02857142857142857, 0.05714285714285714, 0.1, 0.02857142857142857, 0.014285714285714285, 0.014285714285714285, 0.04285714285714286, 0.08571428571428572, 0.02857142857142857, 0.02857142857142857, 0.014285714285714285, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.0, 0.02857142857142857, 0.014285714285714285, 0.12857142857142856, 0.08571428571428572, 0.08571428571428572, 0.04285714285714286, 0.04285714285714286, 0.04285714285714286, 0.014285714285714285, 0.05714285714285714, 0.02857142857142857, 0.05714285714285714, 0.014285714285714285, 0.05714285714285714, 0.05714285714285714, 0.014285714285714285, 0.02857142857142857, 0.02857142857142857, 0.014285714285714285, 0.014285714285714285, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.08571428571428572, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.04285714285714286, 0.02857142857142857, 0.014285714285714285, 0.02857142857142857, 0.07142857142857142, 0.05714285714285714, 0.08571428571428572, 0.014285714285714285, 0.0, 0.02857142857142857, 0.05714285714285714, 0.04285714285714286, 0.04285714285714286, 0.014285714285714285, 0.1, 0.04285714285714286, 0.04285714285714286, 0.2571428571428571, 0.014285714285714285, 0.04285714285714286, 0.02857142857142857, 0.014285714285714285]"
0.8,0.051,0.05575,"[0.0125, 0.0375, 0.0625, 0.0125, 0.0125, 0.05, 0.025, 0.025, 0.0375, 0.0125, 0.025, 0.0125, 0.05, 0.0375, 0.025, 0.0125, 0.0375, 0.1, 0.0625, 0.025, 0.1125, 0.15, 0.0625, 0.1125, 0.0625, 0.025, 0.05, 0.0125, 0.0125, 0.025, 0.075, 0.025, 0.025, 0.0625, 0.0375, 0.0125, 0.0625, 0.0625, 0.025, 0.025, 0.0625, 0.175, 0.025, 0.175, 0.0125, 0.0125, 0.0125, 0.075, 0.025, 0.025, 0.0625, 0.175, 0.3125, 0.0125, 0.0375, 0.025, 0.0375, 0.0875, 0.0125, 0.05, 0.0625, 0.1, 0.075, 0.025, 0.05, 0.0125, 0.0125, 0.1125, 0.0125, 0.0125, 0.1875, 0.1375, 0.0375, 0.1, 0.025, 0.0125, 0.0375, 0.0125, 0.0375, 0.0125, 0.025, 0.025, 0.075, 0.1, 0.0625, 0.025, 0.025, 0.0125, 0.0125, 0.0625, 0.0875, 0.0125, 0.1125, 0.025, 0.0125, 0.075, 0.025, 0.025, 0.075, 0.025]"
0.9,0.025,0.025111111111111112,"[0.06666666666666667, 0.03333333333333333, 0.011111111111111112, 0.022222222222222223, 0.03333333333333333, 0.011111111111111112, 0.03333333333333333, 0.011111111111111112, 0.011111111111111112, 0.03333333333333333, 0.0, 0.06666666666666667, 0.0, 0.0, 0.011111111111111112, 0.03333333333333333, 0.022222222222222223, 0.011111111111111112, 0.044444444444444446, 0.022222222222222223, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.0, 0.022222222222222223, 0.022222222222222223, 0.011111111111111112, 0.044444444444444446, 0.022222222222222223, 0.05555555555555555, 0.0, 0.044444444444444446, 0.022222222222222223, 0.0, 0.011111111111111112, 0.011111111111111112, 0.06666666666666667, 0.07777777777777778, 0.022222222222222223, 0.022222222222222223, 0.03333333333333333, 0.022222222222222223, 0.022222222222222223, 0.03333333333333333, 0.05555555555555555, 0.011111111111111112, 0.022222222222222223, 0.011111111111111112, 0.05555555555555555, 0.011111111111111112, 0.022222222222222223, 0.022222222222222223, 0.08888888888888889, 0.03333333333333333, 0.011111111111111112, 0.0, 0.011111111111111112, 0.011111111111111112, 0.044444444444444446, 0.011111111111111112, 0.022222222222222223, 0.05555555555555555, 0.044444444444444446, 0.05555555555555555, 0.011111111111111112, 0.03333333333333333, 0.1, 0.0, 0.06666666666666667, 0.011111111111111112, 0.05555555555555555, 0.011111111111111112, 0.03333333333333333, 0.05555555555555555, 0.011111111111111112, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.022222222222222223, 0.0, 0.05555555555555555, 0.0, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.0, 0.03333333333333333, 0.022222222222222223, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.044444444444444446, 0.022222222222222223, 0.011111111111111112, 0.0]"
1.0,0.01,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
